"Id","Name","Size (nb of reactions)","mes_genes","Nb of genes mapped (mes_genes)","Percentage of genes mapped (mes_genes)","P-value (mes_genes)","Bonferroni p-value (mes_genes)","Benjamini-Hochsberg p-value (mes_genes)","Actions"
"Glycine_and_serine_degradation","Glycine_and_serine_degradation","4","true","1","12.50%","0.5215","1.0000","0.6151",""
"Putrescine_degradation","Putrescine_degradation","6","true","1","20.00%","0.3689","1.0000","0.4714",""
"Pyridoxal_5__phosphate_biosynthesis","Pyridoxal_5__phosphate_biosynthesis","7","true","3","37.50%","0.0269","1.0000","0.0562",""
"Purine_biosynthesis","Purine_biosynthesis","30","true","9","34.62%","0.0002","0.0100","0.0008",""
"Fatty_acid_biosynthesis","Fatty_acid_biosynthesis","60","true","2","9.09%","0.5889","1.0000","0.6772",""
"Thiamin_biosynthesis","Thiamin_biosynthesis","10","true","5","41.67%","0.0024","0.1087","0.0064",""
"Flavin_biosynthesis","Flavin_biosynthesis","9","true","5","71.43%","9.0517e-5","0.0042","0.0004",""
"Transport_ion_substrate","Transport_ion_substrate","103","true","11","11.11%","0.2483","1.0000","0.3569",""
"IAA_biosynthesis","IAA_biosynthesis","4","true","1","16.67%","0.4245","1.0000","0.5278",""
"Coenzyme_A_biosynthesis","Coenzyme_A_biosynthesis","9","true","6","60.00%","6.6511e-5","0.0031","0.0003",""
"Folate_biosynthesis","Folate_biosynthesis","13","true","7","70.00%","3.4878e-6","0.0002","2.0055e-5",""
"Tryptophan_biosynthesis","Tryptophan_biosynthesis","5","true","5","50.00%","0.0009","0.0400","0.0029",""
"Valine_degradation","Valine_degradation","8","true","1","8.33%","0.6693","1.0000","0.7510",""
"Heme_biosynthesis","Heme_biosynthesis","12","true","8","66.67%","1.1280e-6","5.1886e-5","7.4123e-6",""
"Histamine_degradation","Histamine_degradation","2","true","1","33.33%","0.2412","1.0000","0.3580",""
"Alternate_carbon_metabolism","Alternate_carbon_metabolism","16","true","1","50.00%","0.1681","1.0000","0.2974",""
"Sink","Sink","10","true","3","30.00%","0.0505","1.0000","0.1010",""
"Propanoate_metabolism","Propanoate_metabolism","4","true","1","25.00%","0.3080","1.0000","0.4293",""
"Ubiquinone_biosynthesis","Ubiquinone_biosynthesis","10","true","9","90.00%","2.4343e-9","1.1198e-7","3.7326e-8",""
"Transport_carbon_substrate","Transport_carbon_substrate","291","true","8","3.13%","1.0000","1.0000","1.0000",""
"Oxidative_phosphorylation","Oxidative_phosphorylation","13","true","1","1.27%","0.9994","1.0000","1.0000",""
"Exchange_ion_substrate","Exchange_ion_substrate","39","true","6","15.38%","0.1216","1.0000","0.2237",""
"Glycerophospholipid_metabolism","Glycerophospholipid_metabolism","135","true","7","33.33%","0.0015","0.0669","0.0045",""
"Ethanol_degradation","Ethanol_degradation","3","true","1","20.00%","0.3689","1.0000","0.4849",""
"Molybdenum_cofactor_biosynthesis","Molybdenum_cofactor_biosynthesis","7","true","8","72.73%","4.0649e-7","1.8699e-5","3.1164e-6",""
"Polyamine_biosynthesis","Polyamine_biosynthesis","5","true","1","14.29%","0.4752","1.0000","0.5753",""
"Glutathione_biosynthesis","Glutathione_biosynthesis","2","true","1","33.33%","0.2412","1.0000","0.3827",""
"Glycine_and_serine_biosynthesis","Glycine_and_serine_biosynthesis","8","true","1","6.25%","0.7717","1.0000","0.8255",""
